Country,Region,Year,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Democracy score
Afghanistan,Asia,2023,475,428,2870,311,6.863766660876891,72,2.8621623821490383
Afghanistan,Asia,2024,593,530,3998,377,9.039383453772103,72,2.010695288603655
Afghanistan,Asia,2025,614,551,3681,388,5.246659366956507,72,2.158204292642732
Afghanistan,Asia,2026,633,568,3311,398,0.8869212655017833,72,2.300526880733229
Afghanistan,Asia,2027,649,584,2888,410,0,72,2.4373652615203127
Afghanistan,Asia,2028,767,685,4016,476,0,72,1.5858981679764415
Afghanistan,Asia,2029,788,706,3699,486,0,72,1.7334071720175919
Afghanistan,Asia,2030,807,724,3329,497,0,72,1.8757297601052123
Albania,Europe,2023,746,685,10120,1000,12.89232461463961,104,5.7200108189956715
Albania,Europe,2024,944,847,9757,938,11.068997911615476,104,6.392142182668571
Albania,Europe,2025,953,857,10308,1015,11.239006145479363,104,6.327165817287321
Albania,Europe,2026,959,865,10890,1093,11.452414586288238,104,6.2134794369620145
Albania,Europe,2027,961,871,11503,1172,11.708486748254975,104,6.051441858824199
Albania,Europe,2028,1160,1033,11140,1109,9.885160045235889,104,6.723573222
Albania,Europe,2029,1168,1043,11691,1186,10.055168279103846,104,6.658596857111368
Albania,Europe,2030,1174,1051,12273,1264,10.268576719908387,104,6.544910476786848
Algeria,Africa,2023,9610,9828,92241,19162,6.47276693,239,4.0244062097622635
Algeria,Africa,2024,11775,11369,85773,18067,4.599555821600967,239,3.9013744715901097
Algeria,Africa,2025,11971,11680,88915,18714,4.031363356,239,3.955266310343631
Algeria,Africa,2026,12071,11945,92400,19401,3.539592007,239,4.013600702169251
Algeria,Africa,2027,12075,12165,96226,20127,3.123632649355292,239,4.076296744232068
Algeria,Africa,2028,14240,13706,89757,19033,1.2504215413469169,239,3.953265006060529
Algeria,Africa,2029,14436,14017,92899,19680,0.6822290753220663,239,4.007156844814402
Algeria,Africa,2030,14536,14282,96385,20367,0.19045772678144424,239,4.065491236639787
Angola,Africa,2023,219,202,1037,243,0.9642709918141947,64,3.0146288137337742
Angola,Africa,2024,236,216,1102,197,0,64,3.7386798914773443
Angola,Africa,2025,248,227,1058,214,0,64,3.611638098489786
Angola,Africa,2026,260,238,1029,231,0,64,3.425047263398033
Angola,Africa,2027,271,250,1014,248,0,64,3.1793168831192444
Angola,Africa,2028,288,264,1079,202,0,64,3.903367960859288
Angola,Africa,2029,300,275,1035,219,0,64,3.776326167870062
Angola,Africa,2030,312,286,1006,236,0,64,3.589735333
Argentina,South America,2023,23008,20729,167553,22943,6.907529311203064,568,6.155774457432597
Argentina,South America,2024,20512,18657,113692,12374,2.3395234718289153,568,6.623426684236787
Argentina,South America,2025,21886,19854,108019,10996,1.2478340438130893,568,6.451928747007788
Argentina,South America,2026,23489,21241,103490,9921,0.31570966334253825,568,6.232390348777733
Argentina,South America,2027,25322,22817,100086,9145,0,568,5.964929195948309
Argentina,South America,2028,22825,20744,46224,0,0,568,6.432581422751692
Argentina,South America,2029,24199,21941,40552,0,0,568,6.261083485521324
Argentina,South America,2030,25803,23328,36022,0,0,568,6.041545087
Armenia,Europe,2023,1584,1435,25005,2513,12.5658895,235,4.9186022485295355
Armenia,Europe,2024,1611,1502,13996,1312,5.005993728311925,235,5.794245600278177
Armenia,Europe,2025,1663,1538,15169,1211,4.554880351858156,235,5.768158679009657
Armenia,Europe,2026,1709,1565,16545,1149,4.2614447194879475,235,5.677909600324661
Armenia,Europe,2027,1750,1584,18120,1125,4.123107689583616,235,5.523923754666885
Armenia,Europe,2028,1777,1651,7111,0,0,235,6.399567106411877
Armenia,Europe,2029,1829,1687,8285,0,0,235,6.373480185141599
Armenia,Europe,2030,1876,1714,9661,0,0,235,6.283231106457682
Australia,Oceania,2023,158264,129006,2033349,310051,11.475562830545417,1377,8.623649155083493
Australia,Oceania,2024,140673,124478,1604532,235553,6.593255258399495,1377,8.315369003781466
Australia,Oceania,2025,149436,130462,1568304,222156,4.948931434555298,1377,8.226781399329834
Australia,Oceania,2026,160042,137218,1538730,210450,3.377561631475089,1377,8.151874862915717
Australia,Oceania,2027,172476,144739,1515666,200409,1.8778921315460693,1377,8.085953507072905
Australia,Oceania,2028,154884,140211,1086848,125912,0,1377,7.777673355804446
Australia,Oceania,2029,163648,146195,1050621,112515,0,1377,7.6890857513352495
Australia,Oceania,2030,174254,152951,1021047,100808,0,1377,7.6141792148920135
Austria,Europe,2023,43511,37757,429777,51792,9.152448474,877,7.466741752589721
Austria,Europe,2024,38347,34307,304647,39415,3.6828325453849615,877,7.875596671138258
Austria,Europe,2025,41069,36571,285192,37621,1.9114933168579782,877,7.7112458282964935
Austria,Europe,2026,44357,39230,268501,36199,0.2782017720104548,877,7.506911606297129
Austria,Europe,2027,48207,42279,254535,35143,0,877,7.26292032
Austria,Europe,2028,43043,38828,129405,22766,0,877,7.6717752387711755
Austria,Europe,2029,45765,41093,109950,20972,0,877,7.507424395928312
Austria,Europe,2030,49053,43751,93260,19550,0,877,7.303090173929133
Azerbaijan,Europe,2023,2571,2469,32347,4593,14.965314127993219,153,2.8523111906181056
Azerbaijan,Europe,2024,2502,2415,24036,3907,10.196203101284535,153,2.7889873071875004
Azerbaijan,Europe,2025,2684,2587,27020,4192,10.733474089242462,153,2.818577535809253
Azerbaijan,Europe,2026,2866,2759,30032,4493,11.244675395715856,153,2.8543862334665273
Azerbaijan,Europe,2027,3049,2930,33070,4808,11.728217458756145,153,2.8963649302290566
Azerbaijan,Europe,2028,2980,2875,24759,4122,6.959106432055602,153,2.833041046798884
Azerbaijan,Europe,2029,3161,3048,27743,4407,7.496377420024537,153,2.862631275420816
Azerbaijan,Europe,2030,3344,3219,30755,4707,8.007578726482748,153,2.898439973078028
Bahrain,Asia,2023,1531,1371,22424,1581,19.223624983650115,127,1.191174819
Bahrain,Asia,2024,1782,1617,19478,1527,13.81074618,127,1.9730412832721154
Bahrain,Asia,2025,1862,1686,21274,1658,14.448400959528652,127,1.6945807696659494
Bahrain,Asia,2026,1937,1750,23056,1793,14.981243239934091,127,1.3639113431797165
Bahrain,Asia,2027,2007,1809,24823,1932,15.407623207313918,127,0.9814875093479349
Bahrain,Asia,2028,2258,2055,21877,1878,9.994744404829845,127,1.763353973775899
Bahrain,Asia,2029,2338,2124,23673,2009,10.63239918321197,127,1.4848934601676316
Bahrain,Asia,2030,2413,2188,25455,2144,11.165241463598512,127,1.1542240336831036
Bangladesh,Asia,2023,11454,10611,167190,33345,11.276746016078205,304,6.881382510881555
Bangladesh,Asia,2024,13453,12414,158535,31936,9.528212132,304,6.504969532133185
Bangladesh,Asia,2025,13989,12912,169100,34272,8.798187876084324,304,6.721397352304878
Bangladesh,Asia,2026,14524,13411,180626,36814,8.072722341185903,304,6.966422674651446
Bangladesh,Asia,2027,15058,13910,193103,39560,7.351442145594124,304,7.239746208817319
Bangladesh,Asia,2028,17058,15713,184448,38152,5.602908261305924,304,6.863333230071412
Bangladesh,Asia,2029,17594,16211,195014,40487,4.872884005604721,304,7.079761050244262
Bangladesh,Asia,2030,18129,16709,206539,43029,4.147418470704093,304,7.324786372590307
Belarus,Europe,2023,3410,3259,36438,4005,12.640383370826576,232,2.3570771020801926
Belarus,Europe,2024,3514,3379,25107,2874,6.327619506254061,232,2.2380424214307504
Belarus,Europe,2025,3666,3518,27190,2845,6.7071562197746974,232,2.1591144165689413
Belarus,Europe,2026,3812,3652,29497,2838,7.253907440048511,232,2.075934919728999
Belarus,Europe,2027,3953,3781,32025,2852,7.965391669688277,232,1.988497648284289
Belarus,Europe,2028,4057,3901,20694,1721,1.6526278051329495,232,1.8694629676348198
Belarus,Europe,2029,4209,4040,22777,1692,2.032164518667118,232,1.7905349627731002
Belarus,Europe,2030,4355,4174,25084,1685,2.5789157389264084,232,1.7073554659329944
Belgium,Europe,2023,51473,44509,548612,63390,10.435804153708489,1067,6.454423615199006
Belgium,Europe,2024,45549,40389,376082,44335,4.394789299600365,1067,7.219868928451465
Belgium,Europe,2025,48300,42563,336181,40423,2.4720461095664774,1067,6.977986594360824
Belgium,Europe,2026,51689,45199,300849,37109,0.7362873368106619,1067,6.674968911382944
Belgium,Europe,2027,55712,48295,270030,34388,0,1067,6.311330765383309
Belgium,Europe,2028,49789,44175,97500,15333,0,1067,7.076776078631431
Belgium,Europe,2029,52540,46348,57600,11420,0,1067,6.834893744538826
Belgium,Europe,2030,55929,48984,22268,8107,0,1067,6.531876061561816
Benin,Africa,2023,869,829,9497,898,11.805470249831892,125,3.8387309954428646
Benin,Africa,2024,970,927,9020,712,8.597578685455002,125,3.9813187241369485
